assists,bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
11,21,730,11,898.6,3,0,166.8,435,669.4,3170,4.2,0,18.2,19,96,153,3554519,2331163,3,5.5
5,11,729,13,498.2,2,2,144.1,313,785.4,3060,4.2,0,18.8,13,159,144,2195016,1654399,3,5.5
0,0,470,9,96.6,0,1,84.6,66,505.4,2594,2.9,0,1,3,244,85,129867,255711,4,4.5
0,4,190,3,201.8,1,0,43.9,29,170.4,833,2.4,0,0.3,2,65,33,52535,66391,2,4.5
2,3,149,1,200.7,0,0,40.1,568,168.6,689,2.8,0,0.5,13,33,25,264515,251290,0,5
0,0,3,0,0,0,0,0,635,0,12,0,0,0,16,0,0,1830,1519,0,4
0,9,323,8,80.9,1,0,40.9,116,293.4,1371,3.6,1,1.1,5,34,61,180271,127699,2,5
8,19,834,12,1129.3,3,1,224.5,255,754.4,3384,4.2,0,16.5,11,359,161,2667908,2484827,2,7
0,5,461,9,56.4,2,3,79.1,432,489.8,2492,3.6,0,0.8,19,244,100,395549,384660,5,5
0,0,0,0,0,0,0,0,536,0,0,0,0,0.1,4,0,0,9512,9358,0,4
0,9,429,11,83.8,1,1,65.4,109,368.6,1710,4.9,0,5.6,5,201,93,793208,518969,0,5.5
2,4,209,4,200.5,1,0,45,442,187.4,1006,3.5,0,0.4,19,62,42,234799,245814,2,4.5
0,0,59,0,6,0,0,10,307,95,402,0.8,0,0.1,13,0,7,22803,20416,2,4
0,4,286,7,78,0,0,39.6,280,233.4,1343,3.6,0,2.3,12,85,58,204996,407135,1,5.5
0,0,0,0,0,0,0,0,196,0,0,0,0,2.8,10,0,0,252878,1037826,0,4
0,0,0,0,0,0,0,0,653,0,0,0,0,0,11,0,0,4479,3836,0,4
2,1,253,4,136.8,0,0,43.4,395,232.8,1340,2.6,0,0.6,17,65,52,131476,270768,1,4.5
0,0,0,0,0,0,0,0,94,0,0,0,0,0.1,4,0,0,6239,20203,0,4
2,7,537,11,84.3,2,0,84.8,566,610.4,2683,3.2,0,1.9,7,152,100,234703,86451,4,5
0,0,104,1,63.7,0,1,18.9,452,98,516,1.8,0,2.2,19,28,25,327059,361679,1,4
0,7,500,10,71.6,1,2,107.9,88,691,2693,3.4,0,2.9,4,312,102,784895,599085,3,5
0,5,571,12,152.5,1,0,79.7,74,488.6,3192,2.9,1,1.9,3,153,104,321865,297599,3,4.5
6,11,549,12,535.8,2,3,148.5,232,545,2286,5.1,0,14.6,5,408,139,4126264,3310868,3,6
1,8,222,5,117.1,3,2,38.4,274,179.8,951,4.8,0,1.7,12,89,63,239378,274033,2,5.5
0,0,30,0,32.4,0,0,12.8,75,27.2,205,1.7,0,4,3,69,5,319447,912494,0,4
0,0,0,0,0,0,0,0,697,0,0,0,0,0,11,0,0,115,40,0,4
0,0,0,0,0,0,0,0,36,0,0,0,0,0.1,2,0,0,12320,19555,0,4
0,0,0,0,0,0,0,0,520,0,0,0,0,0.4,4,0,0,48725,57391,0,4
