bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,saves,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
2,60,1,0,0,0,5.9,245,59.6,270,3.7,10,0.3,11,0,11,60478,67145,0,4.5
8,527,7,0,1,0,74,363,741.2,2700,3.1,93,10.9,16,0,94,1394575,2138155,2,4.5
13,660,10,0.1,2,1,79.4,252,776.4,2970,4.2,84,8.3,11,17,140,686423,1111372,1,6
0,0,0,0,0,0,0,617,0,0,0,0,0.2,20,0,0,33187,18945,0,4
0,0,0,0,0,0,0,371,0,0,0,0,0.1,16,0,0,2885,18962,0,4
0,49,0,0,0,0,8.2,99,82.6,360,0.8,10,1.1,4,0,3,97106,111591,0,4
11,625,11,0,2,0,70.3,8,702.2,3131,3.7,86,7.3,1,2,131,1013379,1112822,0,5
0,41,1,0,1,0,5.8,560,57.8,180,5,6,0.1,11,0,10,32711,32079,0,4
0,0,0,0,0,0,0,503,0,0,0,0,1.1,3,0,0,65891,102294,0,4
0,0,0,0,0,0,0,267,0,0,0,0,0,12,0,0,451,1844,0,4
0,0,0,0,0,0,0,606,0,0,0,0,0.1,14,0,0,25830,15803,0,4
0,0,0,0,0,0,0,223,0,0,0,0,0.2,9,0,0,5284,13185,0,4
0,46,1,0,0,0,4.7,430,46.2,270,3.3,6,0.2,19,0,10,25662,30154,0,4.5
4,416,9,0,1,0,46.4,291,464.2,2295,3.5,59,3.3,13,0,91,428055,554811,0,5
0,0,0,0,0,0,0,429,0,0,0,0,5.3,19,0,0,292883,435391,0,4
1,218,4,0,0,0,27.5,305,275.4,1125,3.4,40,2.1,13,0,44,119227,182553,3,5
3,696,19,10,2,0,59.6,278,586,3240,4.4,66,9.4,12,0,160,1106268,869307,3,6
8,613,16,0,0,0,47.2,548,470.2,2745,4.5,57,10.9,5,0,140,1702747,1011725,2,6
0,0,0,0,0,0,0,532,0,0,0,0,0.2,10,0,0,35742,26588,0,4
27,825,15,20,2,0,108.5,12,1067.2,3420,4.9,142,37.9,2,0,186,4031919,1763437,1,5.5
2,58,1,0,1,0,6.8,194,68,270,4.7,8,1,10,0,14,53051,143165,0,4.5
0,147,2,0,0,0,19.1,523,191,720,3.8,20,7,16,0,30,918508,451243,0,4.5
0,0,0,0,0,0,0,625,0,0,0,0,0,16,0,0,4560,2909,0,4
0,0,0,0,0,0,0,682,0,0,0,0,0,7,0,0,730,477,0,4
13,702,12,0,0,0,86.7,383,868,3420,3.9,114,6.6,17,0,149,887132,841198,0,5.5
20,774,11,10,5,0,103.7,213,1026,3150,4.4,140,8.5,10,0,154,1239460,712000,0,5
0,14,0,0,0,0,1.7,586,16.6,90,2,3,0.1,6,0,2,6127,5182,0,4
0,0,0,0,0,0,0,678,0,0,0,0,0,11,0,0,434,310,0,4
0,0,0,0,0,0,0,595,0,0,0,0,0.1,12,0,0,13327,11077,0,4
0,0,0,0,0,0,0,528,0,0,0,0,0.8,3,0,0,115580,72167,0,4
0,0,0,0,0,0,0,32,0,0,0,0,4.4,2,0,0,418448,447236,0,4
0,10,0,0,0,0,2.5,167,25,47,2,3,0.1,7,0,2,3157,6085,0,4
0,0,0,0,0,0,0,482,0,0,0,0,0.6,17,0,0,15535,49860,0,4
0,19,0,0,0,0,2.5,453,25.4,91,2,3,0.2,20,0,4,7709,18575,0,4
0,0,0,0,0,0,0,151,0,0,0,0,0.1,7,0,0,3190,10581,0,4
8,570,10,10.1,2,0,70.9,157,698.4,2742,3.7,89,5.3,7,0,114,759940,905018,1,5
0,0,0,0,0,0,0,208,0,0,0,0,0.8,10,0,0,22749,121038,0,4
6,450,4,0,0,0,68.3,325,682.4,2250,3.2,88,1.1,14,0,80,360613,346492,3,4.5
0,0,0,0,0,0,0,593,0,0,0,0,0.6,5,0,0,82437,47471,0,4
6,631,11,0,3,0,76.9,217,769,3420,3.4,88,9.6,9,0,128,729252,1038585,0,5
5,117,2,0,0,0,11.3,112,113.6,585,3.7,16,0.6,5,0,26,54730,178834,1,5
0,0,0,0,0,0,0,604,0,0,0,0,0.1,13,0,0,9246,7148,0,4
0,0,0,0,0,0,0,677,0,0,0,0,0,11,0,0,363,264,0,4
