assists,bonus,bps,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
0,0,0,0,0,0,0,60,0,0,0,0,0,3,0,0,9990,11304,0,4
3,2,421,319.4,2,2,102.1,512,433.8,2443,2.8,0,0.6,7,267,80,151809,282299,6,5.5
0,0,0,0,0,0,0,199,0,0,0,0,0,10,0,0,856,2338,0,4
1,2,265,355.7,0,1,91,54,255.2,1584,1.9,0,0.3,3,302,58,44560,110942,0,5.5
4,5,359,751,0,2,187.2,465,475.4,2640,2.5,0,5.3,20,645,94,463234,1443205,4,6
0,0,0,0,0,0,0,537,0,0,0,0,0,12,0,0,1505,1574,0,4
0,0,0,0,0,0,0,220,0,0,0,0,0.2,9,0,0,8544,45856,0,4
3,1,256,263.1,1,1,76,159,262.6,1530,2.2,0,0.2,7,233,65,38211,44448,0,6
1,0,58,32.9,0,1,17.1,248,70.8,243,1.6,0,0.1,11,68,21,6645,7703,0,6
0,0,-4,0.3,0,0,0.5,643,4.4,2,-0.5,1,0,16,0,-1,1387,890,0,4
1,3,148,210.6,0,1,61.5,80,170.6,1108,2.3,0,0,3,235,48,5004,7879,1,5.5
0,0,0,0,0,0,0,650,0,0,0,0,0,17,0,0,1662,1160,0,4
1,0,102,162.8,0,0,45.5,71,73.2,520,1.1,0,0,3,221,24,2689,5347,3,5.5
0,0,290,233.3,0,0,64.4,502,366.6,2050,2,0,0.6,7,42,47,84109,169712,6,4.5
5,5,278,394.2,1,3,118.9,338,376,1554,3.4,0,3.1,14,418,85,474911,1694463,0,6.5
1,0,34,31.2,0,0,7.8,640,38,165,2.7,0,0,13,9,8,6790,3540,0,4
1,0,224,244.5,0,0,53,158,189,1559,1.7,0,0.2,7,103,48,25681,45090,3,5
0,0,0,0,0,0,0,304,0,0,0,0,0,13,0,0,967,5568,0,4
1,0,47,80.3,0,0,23.5,436,50.6,362,1.1,0,0.1,19,106,17,4844,17871,3,5.5
5,8,378,694.6,0,1,152.1,137,511.4,2250,2.8,0,1.1,6,311,94,401401,417758,0,5.5
0,2,32,19.7,0,1,10,702,51.6,155,5.5,0,0,13,29,11,290,33,0,4
0,0,11,12.7,0,0,3.1,168,14.4,87,1,0,0.4,7,4,3,112153,145304,0,4
0,0,0,0,0,0,0,612,0,0,0,0,0,4,0,0,1779,1440,0,4
0,13,339,426.1,2,10,165.1,45,500.4,1604,4,0,1.2,2,726,111,616662,552243,2,6
4,5,585,843.2,1,3,156.1,89,559.2,3410,2.9,0,0.7,4,156,112,107366,119930,7,5.5
1,2,149,323.6,0,2,106.1,229,255.6,1322,2.3,0,0.6,9,482,58,61739,249985,2,6
2,0,101,132.1,0,0,39.9,394,103.4,613,2,0,0.6,17,165,30,50411,270129,0,6.5
0,0,0,0,0,0,0,696,0,0,0,0,0,11,0,0,142,51,0,4
0,1,75,142.7,0,1,32.7,154,104.8,447,1.8,0,0.1,7,80,21,13053,21968,2,5.5
7,9,413,476.2,2,2,134.1,281,399.6,2063,3.6,0,1.1,12,463,94,271176,265872,5,7
7,7,407,530.6,2,7,197.6,540,528.4,2315,3.8,0,0.7,2,917,135,263308,219181,1,6
0,0,38,50.9,0,0,9.5,124,36,259,1.6,0,0.1,5,8,8,13069,18609,0,4
0,0,0,0,0,0,0,147,0,0,0,0,0.1,6,0,0,10842,15803,0,4
0,0,0,0,0,0,0,475,0,0,0,0,0.2,20,0,0,16714,48253,0,4
14,36,870,1414.9,9,18,396.2,302,1292.6,3101,6.6,0,48.7,13,1253,244,6424737,4058471,6,12
5,8,414,650.6,2,5,212.7,24,493,2554,3.6,0,7.2,1,984,114,1921453,1914134,1,6.5
0,0,6,4.4,0,0,0.9,636,5.4,36,0.7,0,0,16,0,2,664,480,1,4
3,2,239,471.5,0,2,109.9,122,291.8,1050,2.6,0,0.4,5,336,59,130166,144962,0,5.5
0,0,7,1.1,0,0,0.6,672,1,18,1,0,0,2,5,2,422,216,0,4
2,0,62,87.5,0,0,24.9,541,73.4,275,1.8,0,0,9,88,16,15324,15554,0,4
0,2,438,103,0,1,81.3,133,574.8,3121,2.3,0,0.3,6,134,82,89287,93925,4,4.5
0,0,0,0,0,0,0,330,0,0,0,0,0,14,0,0,927,6178,0,4
3,3,264,378.8,1,4,146.2,119,361.4,1731,3,0,2.8,5,724,82,674397,1198261,2,8
0,0,0,0,0,0,0,659,0,0,0,0,0,12,0,0,511,358,0,4
0,0,0,0,0,0,0,552,0,0,0,0,0,12,0,0,2129,2047,0,4
0,0,0,0,0,0,0,668,0,0,0,0,0,19,0,0,632,401,0,4
