assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,dreamteam_count,first_name,second_name,element_type,goals_scored,ict_index,ict_index_rank,id,influence,influence_rank,minutes,penalties_missed,penalties_order,points_per_game,red_cards,saves,selected_by_percent,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,yellow_cards,prices
11,21,730,11,1,898.6,12,1,3,Aaron,Cresswell,DEF,0,166.8,53,435,669.4,59,3170,0,0,4.2,0,0,18.2,19,21,96,291,95,153,3554519,2331163,3,5.5
5,11,729,13,0,498.2,58,0,2,Aaron,Wan-Bissaka,DEF,2,144.1,77,313,785.4,25,3060,0,0,4.2,0,0,18.8,13,1,159,224,60,144,2195016,1654399,3,5.5
0,0,470,9,0,96.6,278,0,0,Adam,Webster,DEF,1,84.6,192,66,505.4,126,2594,0,0,2.9,0,0,1,3,36,244,161,26,85,129867,255711,4,4.5
0,4,190,3,0,201.8,191,0,1,Ahmed,El Mohamady,DEF,0,43.9,309,29,170.4,316,833,0,0,2.4,0,0,0.3,2,7,65,332,112,33,52535,66391,2,4.5
2,3,149,1,3,200.7,193,0,0,Alex Nicolao,Telles,DEF,0,40.1,323,568,168.6,322,689,0,0,2.8,0,0,0.5,13,1,33,372,138,25,264515,251290,0,5
0,0,3,0,0,0,533,0,0,Allan,Tchaptchet,DEF,0,0,563,635,0,554,12,0,0,0,0,0,0,16,20,0,510,201,0,1830,1519,0,4
0,9,323,8,0,80.9,305,0,1,Andreas,Christensen,DEF,0,40.9,320,116,293.4,235,1371,0,0,3.6,1,0,1.1,5,8,34,371,137,61,180271,127699,2,5
8,19,834,12,1,1129.3,5,0,3,Andrew,Robertson,DEF,1,224.5,24,255,754.4,35,3384,0,0,4.2,0,0,16.5,11,14,359,106,8,161,2667908,2484827,2,7
0,5,461,9,0,56.4,337,0,2,Angelo,Ogbonna,DEF,3,79.1,206,432,489.8,139,2492,0,0,3.6,0,0,0.8,19,21,244,162,27,100,395549,384660,5,5
0,0,0,0,0,0,494,0,0,Anthony,Driscoll-Glennon,DEF,0,0,527,536,0,518,0,0,0,0,0,0,0.1,4,90,0,469,179,0,9512,9358,0,4
0,9,429,11,0,83.8,301,0,1,Antonio,Rudiger,DEF,1,65.4,249,109,368.6,199,1710,0,0,4.9,0,0,5.6,5,8,201,186,41,93,793208,518969,0,5.5
