name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Eric Bailly,DEF,Man Utd,0,0,0,0,0,0,286,6,0,0,0,0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,9363,1,5,0,0,0,0,0,50,TRUE,0,1
Paul Dummett,DEF,Newcastle,0,0,0,0,0,0,301,9,0,0,0,0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,1515,4,2,0,0,0,0,0,45,TRUE,0,1
Willy Boly,DEF,Wolves,0.4,0,0,0,0,0,428,5,0,0,0,0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,8049,0,1,0,0,0,0,0,50,FALSE,0,1
José Diogo Dalot Teixeira,DEF,Man Utd,2.2,0,0,0,0,0,510,6,0,0,0,0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,4750,1,5,0,0,0,0,0,45,TRUE,0,1
Jamal Baptiste,DEF,West Ham,2,0,0,0,0,0,554,9,0,0,0,0,2021-08-15T13:00:00Z,0,14,0,0,0,0,1,0,0,4,2,0,0,0,0,0,40,FALSE,0,1
Sam Byram,DEF,Norwich,0,0,0,0,0,0,321,7,0,0,0,0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,2098,3,0,0,0,0,0,0,45,TRUE,0,1
Danny Rose,DEF,Watford,1.2,0,0,0,0,0,377,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,47198,2,3,0,0,0,0,0,45,TRUE,0,1
Liam Cooper,DEF,Leeds,1.2,0,0,10,0,10.5,184,6,5,0,3.8,25.4,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,21528,1,5,2,-1,0,0,0,45,FALSE,1,1
Frédéric Guilbert,DEF,Aston Villa,1.7,0,0,0,0,0,46,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,1794,2,3,0,0,0,0,0,45,FALSE,0,1
Matt Targett,DEF,Aston Villa,2.7,0,0,4,0,14.8,39,8,2,0,1.8,3,2021-08-14T14:00:00Z,45,18,0,0,0,0,1,0,675492,2,3,0,0,0,0,0,50,FALSE,0,1
Luke Shaw,DEF,Man Utd,3.1,0,0,5,0,28.7,275,6,1,0,4.1,6.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,3743944,1,5,6,1,0,0,0,55,TRUE,1,1
Emerson Palmieri dos Santos,DEF,Chelsea,2.2,0,0,3,0,0.1,539,3,0,0,0.2,0,2021-08-14T14:00:00Z,4,7,0,0,0,0,1,0,0,0,3,2,1,0,0,0,45,TRUE,0,1
Ashley Young,DEF,Aston Villa,2.7,0,0,13,0,22.7,52,8,3,0,3.7,8.4,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,63216,2,3,6,1,0,0,0,50,FALSE,0,1
Christoph Zimmermann,DEF,Norwich,0.7,0,0,0,0,0,324,7,0,0,0,0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,7768,3,0,0,0,0,0,0,45,TRUE,0,1
Shane Duffy,DEF,Brighton,1.5,0,0,22,0,0.2,56,2,1,0,9.2,34.8,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,226602,2,1,57,2,0,0,0,40,FALSE,0,1
Reece James,DEF,Chelsea,3.1,0,0,4,0,2.1,142,3,0,0,0.6,2.2,2021-08-14T14:00:00Z,23,7,0,0,0,0,1,0,465500,0,3,2,1,0,0,0,55,TRUE,0,1
Kortney Hause,DEF,Aston Villa,2.2,0,0,0,0,0,36,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,8179,2,3,0,0,0,0,0,45,FALSE,0,1
Tyrone Mings,DEF,Aston Villa,2.7,0,0,12,0,0.8,38,8,3,0,1.6,15.6,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,572675,2,3,0,0,0,0,0,50,FALSE,1,1
Björn Engels,DEF,Aston Villa,0,0,0,0,0,0,31,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,95,2,3,0,0,0,0,0,45,FALSE,0,1
Francisco Femenía Far,DEF,Watford,1.2,0,0,0,0,0,382,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,15648,2,3,0,0,0,0,0,45,TRUE,0,1
Héctor Bellerín,DEF,Arsenal,3.2,0,0,0,0,0,9,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,72864,0,2,0,0,0,0,0,50,FALSE,0,1
Wesley Fofana,DEF,Leicester,0,0,0,0,0,0,220,5,0,0,0,0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,60900,0,1,0,0,0,0,0,45,TRUE,0,1
Arthur Masuaku,DEF,West Ham,2,0,0,0,0,0,417,9,0,0,0,0,2021-08-15T13:00:00Z,0,14,0,0,0,0,1,0,5351,4,2,0,0,0,0,0,45,FALSE,0,1
Brandon Williams,DEF,Man Utd,1.5,0,0,0,0,0,290,6,0,0,0,0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,135410,1,5,0,0,0,0,0,40,TRUE,0,1
Jeremy Ngakia,DEF,Watford,1.2,0,0,0,0,0,400,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,4345,2,3,0,0,0,0,0,45,TRUE,0,1
Ben Davies,DEF,Liverpool,2,0,0,0,0,0,248,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,29413,3,0,0,0,0,0,0,40,FALSE,0,1
Trevoh Chalobah,DEF,Chelsea,2.7,0,2,37,1,7,527,3,0,1,6.3,45.4,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,8103,0,3,11,14,0,0,0,50,TRUE,0,1
Bali Mumba,DEF,Norwich,0,0,0,0,0,0,515,7,0,0,0,0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,21526,3,0,0,0,0,0,0,40,TRUE,0,1
Fabian Schär,DEF,Newcastle,0.7,0,0,0,0,0,305,9,0,0,0,0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,17533,4,2,0,0,0,0,0,45,TRUE,0,1
Benjamin Chilwell,DEF,Chelsea,3.4,0,0,0,0,0,135,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,896206,0,3,0,0,0,0,0,60,TRUE,0,1
