name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Keinan Davis,FWD,Aston Villa,0.4,0,0,0,0,0,49,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,169789,2,3,0,0,0,0,0,45,FALSE,0,1
Joshua King,FWD,Watford,0,0,0,0,0,0,468,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,21981,2,3,0,0,0,0,0,55,TRUE,0,1
Richarlison de Andrade,FWD,Everton,2.4,1,3,41,0,29.3,180,4,1,1,13,63.8,2021-08-14T14:00:00Z,88,16,0,0,0,0,1,0,640325,1,3,37,11,0,0,0,75,TRUE,1,1
Armando Broja,FWD,Southampton,1.3,0,0,0,0,0,518,4,0,0,0,0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,50205,1,3,0,0,0,0,0,50,FALSE,0,1
Stipe Perica,FWD,Watford,0.5,0,0,0,0,0,388,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,305769,2,3,0,0,0,0,0,45,TRUE,0,1
Isaac Success Ajayi,FWD,Watford,0.8,0,0,0,0,0,393,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,38535,2,3,0,0,0,0,0,50,TRUE,0,1
Robert Street,FWD,Crystal Palace,0.5,0,0,0,0,0,542,3,0,0,0,0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,45,FALSE,0,1
Tammy Abraham,FWD,Chelsea,2.6,0,0,0,0,0,136,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,45383,0,3,0,0,0,0,0,65,TRUE,0,1
Raúl Jiménez,FWD,Wolves,1.9,0,0,2,0,36.9,430,5,1,0,5.9,4,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,240264,0,1,18,2,0,0,0,75,FALSE,0,1
Emmanuel Dennis,FWD,Watford,0.8,1,3,44,1,33.4,450,8,0,1,18.3,62.2,2021-08-14T14:00:00Z,65,2,0,0,0,0,1,0,25528,2,3,87,12,0,0,0,50,TRUE,0,1
Edward Nketiah,FWD,Arsenal,0,0,0,0,0,0,20,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,8562,0,2,0,0,0,0,0,55,FALSE,0,1
Che Adams,FWD,Southampton,2.2,1,0,16,0,18.3,345,4,3,0,5.5,26.4,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,122487,1,3,10,5,0,0,0,70,FALSE,0,1
Divock Origi,FWD,Liverpool,2.3,0,0,0,0,0,235,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,80854,3,0,0,0,0,0,0,50,FALSE,0,1
Andre Gray,FWD,Watford,1.1,0,0,0,0,0,383,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,19046,2,3,0,0,0,0,0,55,TRUE,0,1
Jean-Philippe Mateta,FWD,Crystal Palace,1.1,0,0,5,0,1.3,159,3,2,0,0.8,6.4,2021-08-14T14:00:00Z,56,6,0,0,0,0,1,0,8209,0,3,0,1,0,0,0,55,FALSE,0,1
Dane Scarlett,FWD,Spurs,0.5,0,0,0,0,0,520,10,0,0,0,0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,112697,0,1,0,0,0,0,0,45,TRUE,0,1
Sam Greenwood,FWD,Leeds,0.5,0,0,0,0,0,550,6,0,0,0,0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,0,1,5,0,0,0,0,0,45,FALSE,0,1
Alexandre Lacazette,FWD,Arsenal,0.9,0,0,0,0,0,6,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,192345,0,2,0,0,0,0,0,85,FALSE,0,1
Matej Vydra,FWD,Burnley,1.1,0,0,2,0,0.3,111,2,0,0,1,0,2021-08-14T14:00:00Z,5,4,0,0,0,0,1,0,69784,2,1,12,1,0,0,0,55,TRUE,0,1
Marcus Forss,FWD,Brentford,0.6,0,0,1,0,1.3,88,1,0,0,0.1,0,2021-08-13T19:00:00Z,4,1,0,0,0,0,1,0,11516,0,2,0,1,0,0,0,55,TRUE,0,1
Folarin Balogun,FWD,Arsenal,2.3,0,0,-2,0,0.4,530,1,1,0,0.9,0,2021-08-13T19:00:00Z,58,3,0,0,0,0,1,0,16628,0,2,15,1,0,0,0,50,FALSE,0,1
Dwight Gayle,FWD,Newcastle,0.6,0,0,0,0,0,300,9,0,0,0,0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,16263,4,2,0,0,0,0,0,55,TRUE,0,1
Michy Batshuayi,FWD,Chelsea,2.1,0,0,0,0,0,126,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,14838,0,3,0,0,0,0,0,55,TRUE,0,1
Anthony Martial,FWD,Man Utd,3,0,0,5,0,1.2,278,6,0,0,0.4,2.4,2021-08-14T11:30:00Z,15,10,0,0,0,0,1,0,130051,1,5,0,1,0,0,0,80,TRUE,0,1
Rodrigo Moreno,FWD,Leeds,1.6,0,0,7,0,1.3,187,6,1,0,0.5,3.6,2021-08-14T11:30:00Z,45,13,0,0,0,0,1,0,112933,1,5,0,1,0,0,0,65,FALSE,0,1
Callum Wilson,FWD,Newcastle,1.4,0,0,26,0,1.1,296,9,4,1,10.4,33,2021-08-15T13:00:00Z,84,19,0,0,0,0,1,0,484010,4,2,70,6,0,0,0,75,TRUE,0,1
Patson Daka,FWD,Leicester,2.9,0,0,0,0,0,455,5,0,0,0,0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,105111,0,1,0,0,0,0,0,75,TRUE,0,1
Danny Ings,FWD,Aston Villa,3,0,1,29,0,0.9,337,8,3,1,6,34.2,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,2574177,2,3,25,7,0,0,0,80,FALSE,0,1
Gabriel Fernando de Jesus,FWD,Man City,3.2,0,0,4,0,13.6,263,10,0,0,1.6,2.4,2021-08-15T15:30:00Z,20,17,0,0,0,0,1,0,208816,0,1,0,1,0,0,0,85,FALSE,0,1
Florin Andone,FWD,Brighton,1.8,0,0,0,0,0,500,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,12723,2,1,0,0,0,0,0,50,FALSE,0,1
Dominic Calvert-Lewin,FWD,Everton,2.5,0,1,26,0,2.3,177,4,1,1,12,34.2,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,686033,1,3,83,7,0,0,0,80,TRUE,0,1
Ollie Watkins,FWD,Aston Villa,2.2,0,0,0,0,0,40,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,312088,2,3,0,0,0,0,0,75,FALSE,0,1
Patrick Bamford,FWD,Leeds,2,0,0,0,0,10.8,189,6,5,0,1.8,0,2021-08-14T11:30:00Z,76,13,0,0,0,0,1,0,1258401,1,5,8,2,0,0,0,80,FALSE,0,1
Jamie Vardy,FWD,Leicester,3.9,0,0,23,1,24.7,205,5,0,1,12.1,37.2,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,1032316,0,1,59,5,0,0,0,105,TRUE,1,1
Adam Armstrong,FWD,Southampton,1.8,0,0,24,0,1,525,4,3,1,7.4,33.2,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,65676,1,3,40,6,0,0,0,60,FALSE,0,1
Joshua Sargent,FWD,Norwich,0.6,0,0,5,0,0.3,516,7,0,0,0.7,2.4,2021-08-14T16:30:00Z,13,11,0,0,0,0,1,0,8779,3,0,4,1,0,0,0,55,TRUE,0,1
