name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Adrián San Miguel del Castillo,GK,Liverpool,2.8,0,0,0,0,0,223,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,17548,3,0,0,0,0,0,0,45,FALSE,0,1
Ederson Santana de Moraes,GK,Man City,4.5,0,0,10,0,0,257,10,1,0,0.7,6.6,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,1,683423,0,1,0,2,0,0,0,60,FALSE,0,1
Kepa Arrizabalaga,GK,Chelsea,3.1,0,0,0,0,0,129,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,19536,0,3,0,0,0,0,0,50,TRUE,0,1
Karl Hein,GK,Arsenal,2,0,0,0,0,0,532,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,40,FALSE,0,1
Jack Butland,GK,Crystal Palace,1.3,0,0,0,0,0,156,3,0,0,0,0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,30766,0,3,0,0,0,0,0,45,FALSE,0,1
Asmir Begović,GK,Everton,1,0,0,0,0,0,481,4,0,0,0,0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,153135,1,3,0,0,0,0,0,40,TRUE,0,1
Freddie Woodman,GK,Newcastle,0.8,0,0,30,0,0,513,9,4,0,5.1,51,2021-08-15T13:00:00Z,90,19,0,0,1,0,1,4,10930,4,2,0,6,0,0,0,45,TRUE,0,1
Robert Sánchez,GK,Brighton,2.3,0,0,19,0,10,69,2,1,0,3,20,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,2,1701303,2,1,0,2,0,0,0,45,FALSE,0,1
Edouard Mendy,GK,Chelsea,4.5,0,0,20,1,0,143,3,0,0,1.1,11.2,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,1,613542,0,3,0,6,0,0,0,60,TRUE,0,1
Rúnar Alex Rúnarsson,GK,Arsenal,2,0,0,0,0,0,2,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,91500,0,2,0,0,0,0,0,40,FALSE,0,1
