name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Ayotomiwa Dele-Bashiru,MID,Watford,0,0,0,0,0,0,394,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,4092,2,3,0,0,0,0,0,45,TRUE,0,1
James Ward-Prowse,MID,Southampton,2.3,0,0,20,0,30.5,341,4,3,0,5.2,21.6,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,299682,1,3,0,2,0,0,0,65,FALSE,0,1
Bruno Miguel Borges Fernandes,MID,Man Utd,4.4,0,3,61,0,35.9,277,6,1,3,20.1,106.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,3381004,1,5,59,20,0,0,0,120,TRUE,0,1
James McArthur,MID,Crystal Palace,0.5,0,0,22,0,26,148,3,3,0,5.5,24.8,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,16857,0,3,4,2,0,0,0,45,FALSE,0,1
Kwadwo Baah,MID,Watford,0.5,0,0,0,0,0,405,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,6634,2,3,0,0,0,0,0,45,TRUE,0,1
Jairo Riedewald,MID,Crystal Palace,0.9,0,0,8,0,5.4,157,3,3,0,0.8,2.8,2021-08-14T14:00:00Z,76,6,0,0,0,0,1,0,2741,0,3,0,2,0,0,0,50,FALSE,0,1
Alexis Mac Allister,MID,Brighton,2.4,0,3,28,0,0.4,74,2,0,1,5.6,38.2,2021-08-14T14:00:00Z,14,5,0,0,0,0,1,0,3931,2,1,17,9,0,0,0,55,FALSE,0,1
Alireza Jahanbakhsh,MID,Brighton,0,0,0,0,0,0,66,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,203,2,1,0,0,0,0,0,55,FALSE,0,1
Jeffrey Schlupp,MID,Crystal Palace,1.4,0,0,3,0,1.4,155,3,2,0,0.6,1,2021-08-14T14:00:00Z,56,6,0,0,0,0,1,0,4667,0,3,4,1,0,0,0,55,FALSE,0,1
Adama Traoré,MID,Wolves,1.6,0,0,10,0,13.4,435,5,1,0,12.1,20.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,71206,0,1,87,2,0,0,0,60,FALSE,0,1
Jorge Luiz Frello Filho,MID,Chelsea,2.6,0,0,14,1,21.4,123,3,0,0,4.3,19.6,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,328061,0,3,2,3,0,0,0,60,TRUE,0,1
Diogo Jota,MID,Liverpool,3.5,0,0,21,1,1.9,240,7,0,1,7.6,37.8,2021-08-14T16:30:00Z,60,15,0,0,0,0,1,0,777536,3,0,36,8,0,0,0,75,FALSE,0,1
Ilkay Gündogan,MID,Man City,3,0,0,8,0,7.8,250,10,1,0,5.2,12.4,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,577874,0,1,32,2,0,0,0,75,FALSE,0,1
